Results of markdownlint linter (version 0.32.1)
See documentation on https://oxsecurity.github.io/megalinter/latest/descriptors/markdown_markdownlint/
-----------------------------------------------

❌ [ERROR] for workspace /github/workspace
Linter raw log:
/github/workspace/README.md:108:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:108:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:109:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:109:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:110:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:110:36 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:111:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:111:39 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:112:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:112:41 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:113:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:113:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:114:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:114:35 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:115:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:115:43 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:116:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:116:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:117:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:117:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:118:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:118:39 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:119:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:119:36 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:120:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:120:48 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:121:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:121:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:122:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:122:41 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:123:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:123:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:124:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:124:40 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:125:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:125:39 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:126:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:126:39 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:127:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:127:42 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:128:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:128:42 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:129:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:129:40 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:130:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:130:44 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:131:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:131:38 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:132:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:132:51 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:133:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:133:36 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:134:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:134:41 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:135:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:135:42 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:136:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:136:35 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:137:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:137:43 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:138:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:138:48 MD033/no-inline-html Inline HTML [Element: img]
/github/workspace/README.md:139:1 MD033/no-inline-html Inline HTML [Element: a]
/github/workspace/README.md:139:36 MD033/no-inline-html Inline HTML [Element: img]

